"CruiseNum","Cruise","Hour","Fmat","HO","POF","Hour.shf"
1,"LA24",5,1,0,1,29
1,"LA24",7,1,0,1,31
1,"LA24",7,1,0,0,31
1,"LA24",7,1,0,0,31
1,"LA24",8,1,0,0,32
1,"LA24",9,1,1,0,9
1,"LA24",9,1,0,0,9
1,"LA24",10,1,1,0,10
1,"LA24",10,1,1,0,10
1,"LA24",11,1,1,0,11
1,"LA24",11,1,1,0,11
1,"LA24",13,1,0,0,13
1,"LA24",14,1,0,1,14
1,"LA24",15,1,1,1,15
1,"LA24",15,1,0,1,15
1,"LA24",15,1,0,0,15
1,"LA24",15,1,0,0,15
1,"LA24",16,1,0,1,16
1,"LA24",17,1,1,1,17
1,"LA24",17,1,0,0,17
1,"LA24",17,1,0,0,17
1,"LA24",19,1,0,1,19
1,"LA24",19,1,0,1,19
1,"LA24",19,1,0,0,19
2,"AL24",0,1,0,0,24
2,"AL24",0,1,0,0,24
2,"AL24",0,1,0,0,24
2,"AL24",1,1,0,1,25
2,"AL24",1,1,0,0,25
2,"AL24",1,1,0,0,25
2,"AL24",2,1,0,1,26
2,"AL24",2,1,0,1,26
2,"AL24",2,1,0,0,26
2,"AL24",2,1,0,0,26
2,"AL24",2,1,0,0,26
2,"AL24",4,1,0,1,28
2,"AL24",4,1,0,1,28
2,"AL24",4,1,0,0,28
2,"AL24",4,1,0,0,28
2,"AL24",4,1,0,0,28
2,"AL24",4,1,0,0,28
2,"AL24",5,1,0,0,29
2,"AL24",5,1,0,0,29
2,"AL24",6,1,0,0,30
2,"AL24",6,1,0,0,30
2,"AL24",6,1,0,0,30
2,"AL24",7,1,0,0,31
2,"AL24",7,1,0,0,31
2,"AL24",8,1,0,0,32
2,"AL24",8,1,0,0,32
2,"AL24",10,1,0,1,10
2,"AL24",10,1,0,0,10
2,"AL24",10,1,0,0,10
2,"AL24",13,1,1,1,13
2,"AL24",13,1,1,0,13
2,"AL24",13,1,1,0,13
2,"AL24",13,1,1,0,13
2,"AL24",13,1,1,0,13
2,"AL24",13,1,1,0,13
2,"AL24",13,1,1,0,13
2,"AL24",13,1,1,0,13
2,"AL24",13,1,0,0,13
2,"AL24",13,1,0,0,13
2,"AL24",13,1,0,0,13
2,"AL24",14,1,1,0,14
2,"AL24",15,1,1,1,15
2,"AL24",15,1,1,1,15
2,"AL24",15,1,1,1,15
2,"AL24",15,1,1,0,15
2,"AL24",15,1,1,0,15
2,"AL24",15,1,1,0,15
2,"AL24",15,1,0,0,15
2,"AL24",15,1,0,0,15
2,"AL24",15,1,0,0,15
2,"AL24",15,1,0,0,15
2,"AL24",17,1,0,1,17
2,"AL24",17,1,0,1,17
2,"AL24",17,1,0,0,17
2,"AL24",17,1,0,0,17
2,"AL24",17,1,0,0,17
2,"AL24",18,1,0,1,18
2,"AL24",18,1,0,0,18
2,"AL24",18,1,0,0,18
2,"AL24",18,1,0,0,18
2,"AL24",18,1,0,0,18
2,"AL24",18,1,0,0,18
2,"AL24",20,1,0,1,20
2,"AL24",20,1,0,0,20
2,"AL24",20,1,0,0,20
2,"AL24",20,1,0,0,20
2,"AL24",20,1,0,0,20
2,"AL24",21,1,0,1,21
2,"AL24",21,1,0,1,21
2,"AL24",21,1,0,0,21
2,"AL24",22,1,0,1,22
2,"AL24",22,1,0,1,22
2,"AL24",22,1,0,0,22
3,"AL14",0,1,0,1,24
3,"AL14",0,1,0,1,24
3,"AL14",0,1,0,1,24
3,"AL14",0,1,0,1,24
3,"AL14",0,1,0,0,24
3,"AL14",0,1,0,0,24
3,"AL14",0,1,0,0,24
3,"AL14",1,1,0,0,25
3,"AL14",3,1,0,1,27
3,"AL14",3,1,0,1,27
3,"AL14",3,1,0,0,27
3,"AL14",3,1,0,0,27
3,"AL14",3,1,0,0,27
3,"AL14",3,1,0,0,27
3,"AL14",3,1,0,0,27
3,"AL14",3,1,0,0,27
3,"AL14",4,1,0,0,28
3,"AL14",4,1,0,0,28
3,"AL14",4,1,0,0,28
3,"AL14",4,1,0,0,28
3,"AL14",4,1,0,0,28
3,"AL14",4,1,0,0,28
3,"AL14",5,1,0,1,29
3,"AL14",5,1,0,0,29
3,"AL14",5,1,0,0,29
3,"AL14",5,1,0,0,29
3,"AL14",5,1,0,0,29
3,"AL14",6,1,0,1,30
3,"AL14",6,1,0,0,30
3,"AL14",6,1,0,0,30
3,"AL14",6,1,0,0,30
3,"AL14",6,1,0,0,30
3,"AL14",17,1,0,1,17
3,"AL14",17,1,0,1,17
3,"AL14",17,1,0,1,17
3,"AL14",18,1,0,1,18
3,"AL14",18,1,0,1,18
3,"AL14",18,1,0,1,18
3,"AL14",18,1,0,1,18
3,"AL14",18,1,0,0,18
3,"AL14",19,1,0,1,19
3,"AL14",19,1,0,1,19
3,"AL14",20,1,0,1,20
3,"AL14",20,1,0,1,20
3,"AL14",20,1,0,1,20
3,"AL14",20,1,0,1,20
3,"AL14",21,1,0,1,21
3,"AL14",21,1,0,1,21
3,"AL14",21,1,0,1,21
3,"AL14",21,1,0,1,21
3,"AL14",21,1,0,1,21
3,"AL14",21,1,0,0,21
3,"AL14",22,1,0,1,22
3,"AL14",22,1,0,1,22
3,"AL14",22,1,0,1,22
3,"AL14",22,1,0,1,22
3,"AL14",22,1,0,0,22
3,"AL14",22,1,0,0,22
